preferred_zone,preferred_entry_date,minimum_acceptable_group_size,results_status,awarded_preference,awarded_entry_date,awarded_entrance_code_name,awarded_group_size,processing_sequence,state,year,awarded,preferred_option,preferred_entry_date_month,preferred_entry_date_day
Colchuck Zone,08-14-2020,0.0,Awarded,2,09-11-2020,Colchuck Zone,4,,,2020,False,1,August,Friday
Core Enchantment Zone,08-23-2020,0.0,Awarded,3,08-30-2020,Stuart  Zone,2,,,2020,False,1,August,Sunday
Colchuck Zone,07-10-2020,0.0,Awarded,2,07-17-2020,Stuart  Zone,4,,,2020,False,1,July,Friday
Core Enchantment Zone,07-09-2020,0.0,Awarded,3,07-09-2020,Stuart  Zone,6,,,2020,False,1,July,Thursday
Colchuck Zone,09-19-2020,0.0,Awarded,2,09-19-2020,Snow Zone,8,,,2020,False,1,September,Saturday
Core Enchantment Zone,08-08-2020,0.0,Awarded,2,08-22-2020,Eightmile/Caroline Zone,8,,,2020,False,1,August,Saturday
Core Enchantment Zone,08-17-2020,0.0,Awarded,2,08-24-2020,Core Enchantment Zone,6,,,2020,False,1,August,Monday
Colchuck Zone,07-31-2020,0.0,Awarded,2,09-04-2020,Colchuck Zone,8,,,2020,False,1,July,Friday
Stuart  Zone,08-15-2020,0.0,Awarded,3,09-12-2020,Stuart  Zone,4,,,2020,False,1,August,Saturday
Snow Zone,09-11-2020,0.0,Awarded,3,09-25-2020,Snow Zone,5,,,2020,False,1,September,Friday
Core Enchantment Zone,05-22-2020,0.0,Awarded,3,05-22-2020,Snow Zone,3,,,2020,False,1,May,Friday
Core Enchantment Zone,09-08-2020,0.0,Awarded,3,09-08-2020,Snow Zone,3,,,2020,False,1,September,Tuesday
Core Enchantment Zone,08-04-2020,0.0,Awarded,2,06-15-2020,Core Enchantment Zone,4,,,2020,False,1,August,Tuesday
Snow Zone,08-01-2020,0.0,Awarded,2,09-19-2020,Snow Zone,8,,,2020,False,1,August,Saturday
Colchuck Zone,07-16-2020,0.0,Awarded,2,07-16-2020,Stuart  Zone,4,,,2020,False,1,July,Thursday
Core Enchantment Zone,05-29-2020,0.0,Awarded,2,05-29-2020,Colchuck Zone,6,,,2020,False,1,May,Friday
Core Enchantment Zone,07-01-2020,0.0,Awarded,3,08-04-2020,Eightmile/Caroline Zone,4,,,2020,False,1,July,Wednesday
Core Enchantment Zone,07-17-2020,0.0,Awarded,3,07-17-2020,Snow Zone,8,,,2020,False,1,July,Friday
Colchuck Zone,09-04-2020,0.0,Awarded,3,10-15-2020,Colchuck Zone,8,,,2020,False,1,September,Friday
Colchuck Zone,06-24-2020,0.0,Awarded,2,06-24-2020,Stuart  Zone,4,,,2020,False,1,June,Wednesday
Colchuck Zone,07-15-2020,0.0,Awarded,2,07-15-2020,Stuart  Zone,4,,,2020,False,1,July,Wednesday
Core Enchantment Zone,10-02-2020,0.0,Awarded,3,10-16-2020,Eightmile/Caroline Zone,2,,,2020,False,1,October,Friday
Core Enchantment Zone,08-04-2020,0.0,Awarded,2,07-28-2020,Eightmile/Caroline Zone,6,,,2020,False,1,August,Tuesday
Core Enchantment Zone,07-09-2020,0.0,Awarded,3,06-11-2020,Core Enchantment Zone,4,,,2020,False,1,July,Thursday
Core Enchantment Zone,05-23-2020,0.0,Awarded,2,06-14-2020,Snow Zone,6,,,2020,False,1,May,Saturday
Colchuck Zone,08-12-2020,0.0,Awarded,3,10-21-2020,Colchuck Zone,6,,,2020,False,1,August,Wednesday
