Maximum Requested Group Size 1,Preferred Entry Date 2,Preferred Division 2,Minimum Acceptable Group Size 2,Maximum Requested Group Size 2,Preferred Entry Date 3,Preferred Division 3,Minimum Acceptable Group Size 3,Maximum Requested Group Size 3,Results Status,Awarded Preference,Awarded Entrance Code/Name,Awarded Group Size,State
5,8/3/2023,Core Enchantment Zone,5,5,10/5/2023,Colchuck Zone,5,5,Unsuccessful,,,,WA
5,8/13/2023,Stuart  Zone,5,5,9/10/2023,Stuart  Zone,5,5,Unsuccessful,,,,UT
4,10/25/2023,Core Enchantment Zone,4,4,10/26/2023,Core Enchantment Zone,4,4,Awarded,2,Core Enchantment Zone,4,WA
4,7/5/2023,Core Enchantment Zone,4,4,7/5/2023,Colchuck Zone,4,4,Unsuccessful,,,,WA
8,8/16/2023,Core Enchantment Zone,8,8,9/6/2023,Colchuck Zone,8,8,Unsuccessful,,,,WA
8,8/25/2023,Core Enchantment Zone,8,8,9/1/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
6,,,,,,,,,Unsuccessful,,,,WA
4,,,,,,,,,Unsuccessful,,,,MI
5,7/5/2023,Core Enchantment Zone,5,5,7/7/2023,Core Enchantment Zone,5,5,Unsuccessful,,,,OR
4,6/10/2023,Stuart  Zone,4,4,9/9/2023,Stuart Zone (stock),4,4,Unsuccessful,,,,WA
2,10/12/2023,Core Enchantment Zone,2,2,10/26/2023,Core Enchantment Zone,2,2,Awarded,3,Core Enchantment Zone,2,WA
8,8/11/2023,Core Enchantment Zone,8,8,8/24/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,TX
5,8/17/2023,Core Enchantment Zone,5,5,8/30/2023,Core Enchantment Zone,5,5,Unsuccessful,,,,WA
2,7/23/2023,Colchuck Zone,2,2,7/26/2023,Colchuck Zone,2,2,Unsuccessful,,,,OR
8,8/28/2023,Core Enchantment Zone,8,8,7/17/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
4,9/15/2023,Colchuck Zone,4,4,9/22/2023,Colchuck Zone,4,4,Unsuccessful,,,,WA
6,8/24/2023,Core Enchantment Zone,6,6,8/31/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,VA
7,9/19/2023,Core Enchantment Zone,7,7,9/20/2023,Core Enchantment Zone,7,7,Unsuccessful,,,,WA
4,9/13/2023,Core Enchantment Zone,4,4,,,,,Unsuccessful,,,,IN
3,6/30/2023,Colchuck Zone,4,4,7/23/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
