Permit Type,Preferred Entry Date 1,Preferred Zone 1,Preferred Entry Date 2,Preferred Zone 2,Preferred Entry Date 3,Preferred Zone 3,Results Status,Awarded Preference,Awarded Entry Date,Awarded Entrance Code/Name,Awarded Group Size
Overnight Permit,6/20/2020,Core Enchantment Zone,6/13/2020,Core Enchantment Zone,7/11/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/4/2020,Core Enchantment Zone,8/3/2020,Core Enchantment Zone,8/5/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/28/2020,Core Enchantment Zone,7/17/2020,Colchuck Zone,9/4/2020,Snow Zone,Unsuccessful,,,,
Overnight Permit,8/6/2020,Core Enchantment Zone,7/2/2020,Colchuck Zone,8/22/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,9/8/2020,Core Enchantment Zone,9/9/2020,Core Enchantment Zone,9/8/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,9/4/2020,Core Enchantment Zone,9/3/2020,Core Enchantment Zone,9/5/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/24/2020,Core Enchantment Zone,7/25/2020,Core Enchantment Zone,7/31/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/14/2020,Colchuck Zone,8/21/2020,Colchuck Zone,7/24/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,8/20/2020,Core Enchantment Zone,7/16/2020,Colchuck Zone,7/9/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/28/2020,Colchuck Zone,6/19/2020,Stuart  Zone,8/28/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/3/2020,Core Enchantment Zone,7/3/2020,Colchuck Zone,7/3/2020,Snow Zone,Unsuccessful,,,,
Overnight Permit,6/9/2020,Core Enchantment Zone,6/16/2020,Core Enchantment Zone,6/23/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,7/9/2020,Core Enchantment Zone,7/9/2020,Colchuck Zone,7/9/2020,Stuart  Zone,Unsuccessful,,,,
Overnight Permit,8/25/2020,Snow Zone,9/1/2020,Snow Zone,8/18/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,9/2/2020,Core Enchantment Zone,9/3/2020,Core Enchantment Zone,9/1/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/2/2020,Colchuck Zone,8/9/2020,Snow Zone,7/26/2020,Core Enchantment Zone,Unsuccessful,,,,
